ACL00 (Labels);Total;Work and study;Household and family care activities;Leisure social and associative life except TV and video;Home
STARTIME (Labels);;;;;
Total (24 hours);100;12.2;14.2;15.1;58.5
From 00:00 to 00:09;100;1.1;2.2;7.9;88.8
From 00:10 to 00:19;100;1;2;7.2;89.8
From 00:20 to 00:29;100;0.9;1.7;6.4;91
From 00:30 to 00:39;100;0.9;1.4;5.5;92.2
From 00:40 to 00:49;100;0.8;1.1;5.1;93
From 00:50 to 00:59;100;0.8;1.1;4.4;93.7
From 01:00 to 01:09;100;0.7;1.2;3.3;94.8
From 01:10 to 01:19;100;0.7;0.9;3.2;95.2
From 01:20 to 01:29;100;0.7;0.8;2.9;95.6
From 01:30 to 01:39;100;0.7;0.7;2.6;96
From 01:40 to 01:49;100;0.7;0.6;2.3;96.4
From 01:50 to 01:59;100;0.6;0.6;2.1;96.7
From 02:00 to 02:09;100;0.6;0.6;1.8;97
From 02:10 to 02:19;100;0.6;0.5;1.6;97.3
From 02:20 to 02:29;100;0.6;0.5;1.6;97.3
From 02:30 to 02:39;100;0.5;0.5;1.4;97.6
From 02:40 to 02:49;100;0.5;0.5;1.3;97.7
From 02:50 to 02:59;100;0.5;0.4;1.1;98
From 03:00 to 03:09;100;0.5;0.4;1;98.1
From 03:10 to 03:19;100;0.5;0.4;0.9;98.2
From 03:20 to 03:29;100;0.5;0.4;0.8;98.3
From 03:30 to 03:39;100;0.5;0.4;0.7;98.4
From 03:40 to 03:49;100;0.5;0.3;0.6;98.6
From 03:50 to 03:59;100;0.5;0.3;0.6;98.6
From 04:00 to 04:09;100;0.4;0.3;0.4;98.9
From 04:10 to 04:19;100;0.4;0.3;0.4;98.9
From 04:20 to 04:29;100;0.4;0.4;0.5;98.7
From 04:30 to 04:39;100;0.4;0.4;0.4;98.8
From 04:40 to 04:49;100;0.4;0.4;0.4;98.8
From 04:50 to 04:59;100;0.5;0.5;0.4;98.6
From 05:00 to 05:09;100;0.5;0.4;0.4;98.7
From 05:10 to 05:19;100;0.6;0.3;0.4;98.7
From 05:20 to 05:29;100;0.6;0.4;0.4;98.6
From 05:30 to 05:39;100;0.7;0.4;0.4;98.5
From 05:40 to 05:49;100;0.7;0.5;0.4;98.4
From 05:50 to 05:59;100;1;0.7;0.5;97.8
From 06:00 to 06:09;100;1.1;1;0.6;97.3
From 06:10 to 06:19;100;1.3;1.3;0.6;96.8
From 06:20 to 06:29;100;1.6;1.7;0.7;96
From 06:30 to 06:39;100;1.9;2.2;0.9;95
From 06:40 to 06:49;100;2;2.9;1.2;93.9
From 06:50 to 06:59;100;2.5;3.3;1.5;92.7
From 07:00 to 07:09;100;3.8;4.9;2.1;89.2
From 07:10 to 07:19;100;4.1;5.8;2.7;87.4
From 07:20 to 07:29;100;4.9;7.3;3.2;84.6
From 07:30 to 07:39;100;6.7;8.6;3.5;81.2
From 07:40 to 07:49;100;8;9;3.9;79.1
From 07:50 to 07:59;100;9.6;9.9;4.4;76.1
From 08:00 to 08:09;100;12.5;11.8;5.1;70.6
From 08:10 to 08:19;100;14.5;13.5;5.7;66.3
From 08:20 to 08:29;100;17.3;14.2;6.3;62.2
From 08:30 to 08:39;100;21.4;14.8;6.8;57
From 08:40 to 08:49;100;23.4;15.5;7.6;53.5
From 08:50 to 08:59;100;25.2;16.4;8.7;49.7
From 09:00 to 09:09;100;27.1;17.9;9.6;45.4
From 09:10 to 09:19;100;28.3;19.2;10.7;41.8
From 09:20 to 09:29;100;29.2;19.8;11.7;39.3
From 09:30 to 09:39;100;29.7;20.8;12.6;36.9
From 09:40 to 09:49;100;30;21.8;13.3;34.9
From 09:50 to 09:59;100;30;21.5;14.3;34.2
From 10:00 to 10:09;100;29.8;22.8;15.7;31.7
