,0
0,45.623924
1,35.857628
2,6.710066
3,21.841194
4,7.3541675
5,6.3671026
6,14.104075
7,8.075967
8,1.2181203
9,9.6341915
10,10.4061775
11,35.47884
12,20.644773
13,2.7593246
14,5.729185
15,21.274206
16,19.983334
17,13.598654
18,20.214518
19,3.85
20,26.4
21,22.366667
22,15.71519
23,12.355264
24,2.2
25,1.2833333
26,33.998425
27,22.202002
28,5.159352
29,8.28045
30,12.466666
31,76.0707
32,15.355643
33,19.224052
34,10.621905
35,10.072788
36,31.37725
37,12.386694
38,3.7897828
39,57.444424
40,4.089845
41,10.064456
42,12.015647
43,18.104618
44,8.796784
45,11.609859
46,20.893097
47,50.16735
48,7.655118
49,7.203779
50,1.3927351
51,8.832733
52,15.530453
53,80.25317
54,3.1080902
55,10.743221
56,22.027483
57,7.8883033
58,10.770798
59,10.840548
60,11.341691
61,10.532724
62,3.1166666
63,0.36666667
64,2.5544565
65,4.880019
66,9.661925
67,2.9906034
68,6.0735545
69,0.18333334
70,23.58204
71,31.207493
72,9.725148
73,20.06059
74,19.289999
75,8.689007
76,7.739385
77,14.058376
78,1.3892626
79,0.800215
80,7.777692
81,23.786324
82,7.529192
83,33.131878
84,5.608122
85,21.352068
86,17.603304
87,19.877949
88,8.962659
89,10.37399
90,10.921847
91,1.288957
92,8.9735985
93,8.101305
94,7.755928
95,24.069113
96,12.712835
97,5.5971403
98,11.184414
99,7.296271
100,20.75019
101,7.93077
102,22.947618
103,0.6112126
104,21.10369
105,10.633333
106,20.384287
107,7.5915384
108,3.6655009
109,27.133333
110,14.959918
111,7.4064336
112,30.10851
113,6.594195
114,20.610844
115,3.5616686
116,0.116811864
117,4.3484774
118,12.196264
119,30.795877
120,6.829248
121,18.344852
122,10.897437
123,21.379473
124,30.81523
125,12.363208
126,22.847067
127,13.052531
128,6.813686
129,22.343687
130,19.133196
131,8.12259
132,9.066793
133,5.8255315
134,4.219108
135,20.294746
136,8.535981
137,36.96574
138,24.933332
139,15.9303465
140,17.79432
141,23.259815
142,15.391257
143,28.575193
144,11.705968
145,14.666667
146,31.067928
147,14.576
148,5.4010944
149,24.250124
150,19.60977
151,31.68704
152,20.054304
153,30.513105
154,6.546445
155,8.983334
156,4.8994083
157,3.8167505
158,25.439634
159,10.670559
160,18.852406
161,4.9898634
162,18.129427
163,9.847868
