,0
0,0.0008
1,0.0016
2,0.0024
3,0.0024
4,0.002
5,0.002
6,0.0024
7,0.0032
8,0.0028
9,0.0028
10,0.0036
11,0.0036
12,0.0032
13,0.0032
14,0.0032
15,0.0036
16,0.0036
17,0.0036
18,0.0032
19,0.0032
20,0.004
21,0.004
22,0.0044
23,0.0056
24,0.006
25,0.0056
26,0.0068
27,0.0068
28,0.0076
29,0.0072
30,0.0076
31,0.0076
32,0.0076
33,0.008
34,0.008
35,0.0084
36,0.008
37,0.008
38,0.008
39,0.008
40,0.008
41,0.008
42,0.0084
43,0.0088
44,0.008
45,0.0076
46,0.0072
47,0.0076
48,0.0076
49,0.008
50,0.0076
51,0.006
52,0.006
53,0.0064
54,0.006
55,0.0068
56,0.006
57,0.006
58,0.0064
59,0.0068
60,0.0068
61,0.006
62,0.0064
63,0.0072
64,0.0068
65,0.0064
66,0.0056
67,0.006
68,0.0052
69,0.0052
70,0.0052
71,0.0052
72,0.0048
73,0.0048
74,0.0048
75,0.0048
76,0.0048
77,0.0052
78,0.0052
79,0.004
80,0.0044
81,0.0044
82,0.0048
83,0.0048
84,0.0044
85,0.004
86,0.0044
87,0.004
88,0.0036
89,0.004
90,0.0048
91,0.0056
92,0.0056
93,0.0056
94,0.006
95,0.006
96,0.0064
97,0.0072
98,0.0072
99,0.008
100,0.0076
101,0.0072
102,0.0084
103,0.0088
104,0.0084
105,0.0088
106,0.0092
107,0.0088
108,0.0088
109,0.0092
110,0.0092
111,0.0092
112,0.0088
113,0.0092
114,0.0088
115,0.008
116,0.0088
117,0.01
118,0.0096
119,0.0088
120,0.0088
121,0.0088
122,0.0088
123,0.0084
124,0.008
125,0.0076
126,0.0076
127,0.0076
128,0.008
129,0.0072
130,0.0072
131,0.0068
132,0.0068
133,0.0064
134,0.006
135,0.0064
136,0.0068
137,0.0064
138,0.0064
139,0.0072
140,0.0072
141,0.0068
142,0.0064
143,0.0064
144,0.0068
145,0.0068
146,0.0072
147,0.0068
148,0.0064
149,0.0064
150,0.0068
151,0.0068
152,0.0072
153,0.0068
154,0.0068
155,0.0064
156,0.0068
157,0.0064
158,0.0064
159,0.0072
160,0.0076
161,0.0076
162,0.0068
163,0.0068
164,0.0072
165,0.0068
166,0.0068
167,0.0072
168,0.0072
169,0.0068
170,0.0064
171,0.0064
172,0.0068
173,0.006
174,0.0064
175,0.0068
176,0.006
177,0.0056
178,0.0052
179,0.0052
180,0.0056
181,0.0056
182,0.006
183,0.0052
184,0.0056
185,0.0056
186,0.0056
187,0.0056
188,0.0056
189,0.0048
190,0.0048
191,0.0048
192,0.0056
193,0.0052
194,0.006
195,0.006
196,0.0056
197,0.006
198,0.006
199,0.006
200,0.0068
201,0.0072
202,0.0076
203,0.0072
204,0.0072
205,0.0072
206,0.0072
207,0.0076
208,0.0076
209,0.0072
210,0.0072
211,0.0072
212,0.0076
213,0.008
214,0.008
215,0.008
216,0.0072
217,0.0068
218,0.0064
219,0.0064
220,0.006
221,0.006
222,0.0056
223,0.0056
224,0.0044
225,0.0044
226,0.0044
227,0.004
228,0.0036
229,0.0036
230,0.0036
231,0.0028
232,0.0024
233,0.0024
234,0.0024
235,0.0024
236,0.0024
237,0.0024
238,0.0024
239,0.002
240,0.002
241,0.0016
242,0.0032
243,0.0036
244,0.004
245,0.004
246,0.004
247,0.004
248,0.0036
249,0.0036
250,0.0036
251,0.0036
252,0.0044
253,0.0052
254,0.0048
255,0.0052
256,0.0052
257,0.0048
258,0.0052
259,0.006
260,0.0056
261,0.0056
262,0.0056
263,0.006
264,0.0056
265,0.0052
266,0.0044
267,0.0044
268,0.0044
269,0.0048
270,0.004
271,0.004
272,0.0044
273,0.004
274,0.004
275,0.004
276,0.0044
277,0.0044
278,0.004
279,0.0044
280,0.0044
281,0.004
282,0.0036
283,0.0036
284,0.0036
285,0.0048
286,0.0052
287,0.0048
288,0.0052
289,0.0056
290,0.0052
291,0.0052
292,0.0052
293,0.0056
294,0.0056
295,0.0048
296,0.0056
297,0.0052
298,0.0052
299,0.0052
300,0.0044
301,0.004
302,0.0044
303,0.0052
304,0.0052
305,0.0048
306,0.0048
307,0.0052
308,0.0056
309,0.0052
310,0.006
311,0.0056
312,0.0052
313,0.006
314,0.0068
315,0.0072
316,0.0068
317,0.0068
318,0.0072
319,0.0076
320,0.008
321,0.0084
322,0.0088
323,0.0096
324,0.0112
325,0.0124
326,0.012
327,0.012
328,0.012
329,0.0124
330,0.0128
331,0.0128
332,0.0124
333,0.0132
334,0.0136
335,0.0128
336,0.0148
337,0.0168
338,0.018
339,0.0188
340,0.0184
341,0.0188
342,0.0188
343,0.0184
344,0.02
345,0.02
346,0.0216
347,0.0232
348,0.022
349,0.0232
350,0.0232
351,0.0228
352,0.024
353,0.0248
354,0.0244
355,0.0228
356,0.0244
357,0.026
358,0.0276
359,0.0272
360,0.0276
361,0.0284
362,0.028
363,0.0284
364,0.0304
365,0.0296
366,0.0272
367,0.0268
368,0.0268
369,0.0256
370,0.0264
371,0.0272
372,0.0288
373,0.028
374,0.0268
375,0.026
376,0.026
377,0.0256
378,0.028
379,0.0288
380,0.032
381,0.0308
382,0.0336
383,0.0336
384,0.0352
385,0.0328
386,0.0336
387,0.0324
388,0.032
389,0.0316
390,0.034
391,0.034
392,0.0348
393,0.0364
394,0.0372
395,0.0376
396,0.0396
397,0.0416
398,0.0404
399,0.0416
400,0.0428
401,0.042
402,0.044
403,0.0444
404,0.0456
405,0.046
406,0.048
407,0.0492
408,0.0488
409,0.05
410,0.0512
411,0.0496
412,0.0508
413,0.052
414,0.0528
415,0.0544
416,0.0552
417,0.056
418,0.0568
419,0.056
420,0.0564
421,0.058
422,0.0568
423,0.0556
424,0.0564
425,0.0556
426,0.056
427,0.0556
428,0.0552
429,0.0556
430,0.0564
431,0.056
432,0.0576
433,0.0576
434,0.058
435,0.0556
436,0.0524
437,0.0496
438,0.05
439,0.046
440,0.0444
441,0.0432
442,0.0436
443,0.0436
444,0.0432
445,0.044
446,0.0428
447,0.0432
448,0.0436
449,0.0472
450,0.0468
451,0.0464
452,0.0488
453,0.0524
454,0.0528
455,0.0524
456,0.0532
457,0.0544
458,0.0564
459,0.0576
460,0.058
461,0.0568
462,0.0592
463,0.0588
464,0.058
465,0.0588
466,0.0592
467,0.0576
468,0.0584
469,0.0596
470,0.0596
471,0.0596
472,0.0608
473,0.0608
474,0.0604
475,0.0616
476,0.0628
477,0.0636
478,0.062
479,0.0608
480,0.0612
481,0.0604
482,0.0592
483,0.0608
484,0.0612
485,0.0632
486,0.0636
487,0.0632
488,0.0632
489,0.0624
490,0.0632
491,0.0604
492,0.0624
493,0.0652
494,0.0656
495,0.0636
496,0.0636
497,0.0624
498,0.0648
499,0.0636
500,0.0656
501,0.0668
502,0.0652
503,0.0644
504,0.0612
505,0.0596
506,0.0564
507,0.0572
508,0.0556
509,0.0576
510,0.056
511,0.0556
512,0.0548
513,0.054
514,0.0568
515,0.0536
516,0.0544
517,0.0528
518,0.0516
519,0.052
520,0.0512
521,0.0492
522,0.0492
523,0.0508
524,0.0488
525,0.0496
526,0.0508
527,0.05
528,0.05
529,0.0508
530,0.0508
531,0.0512
532,0.0516
533,0.0524
534,0.0544
535,0.054
536,0.054
537,0.0532
538,0.0528
539,0.0532
540,0.0524
541,0.0544
542,0.054
543,0.0532
544,0.0544
545,0.0544
546,0.0544
547,0.0528
548,0.0532
549,0.054
550,0.0524
551,0.0536
552,0.0528
553,0.0536
554,0.0544
555,0.052
556,0.0524
557,0.05
558,0.0516
559,0.05
560,0.048
561,0.0484
562,0.0472
563,0.0472
564,0.0476
565,0.0472
566,0.0484
567,0.0468
568,0.0456
569,0.0468
570,0.0484
571,0.0476
572,0.0476
573,0.0464
574,0.0448
575,0.0452
576,0.0464
577,0.0468
578,0.0448
579,0.0444
580,0.0432
581,0.0428
582,0.0428
583,0.0456
584,0.0444
585,0.0424
586,0.0416
587,0.0416
588,0.0412
589,0.042
590,0.044
591,0.0424
592,0.04
593,0.0392
594,0.04
595,0.0376
596,0.0372
597,0.036
598,0.0364
599,0.0344
600,0.0344
601,0.034
602,0.0324
603,0.0328
604,0.0336
605,0.032
606,0.0332
607,0.0324
608,0.0328
609,0.0344
610,0.0332
611,0.0328
612,0.0308
613,0.0296
614,0.0308
615,0.0296
616,0.0292
617,0.0304
618,0.0308
619,0.0316
620,0.032
621,0.0332
622,0.0348
623,0.036
624,0.0364
625,0.0356
626,0.0336
627,0.0328
628,0.032
629,0.0324
630,0.0344
631,0.0312
632,0.0308
633,0.0304
634,0.0304
635,0.032
636,0.0328
637,0.034
638,0.0348
639,0.0336
640,0.0324
641,0.0328
642,0.0312
643,0.0304
644,0.0308
645,0.03
646,0.0292
647,0.0304
648,0.0296
649,0.0304
650,0.032
651,0.0316
652,0.0304
653,0.0288
654,0.0292
655,0.0288
656,0.0292
657,0.03
658,0.0292
659,0.0292
660,0.0292
661,0.0304
662,0.0296
663,0.0296
664,0.0296
665,0.028
666,0.0276
667,0.0284
668,0.0276
669,0.0272
670,0.0268
671,0.0264
672,0.0248
673,0.0244
674,0.0224
675,0.022
676,0.024
677,0.0244
678,0.0244
679,0.0244
680,0.024
681,0.0248
682,0.026
683,0.0248
684,0.0252
685,0.026
686,0.0248
687,0.0248
688,0.024
689,0.0248
690,0.0244
691,0.0248
692,0.024
693,0.0244
694,0.0248
695,0.026
696,0.0276
697,0.0288
698,0.0292
699,0.0292
700,0.0308
701,0.0324
702,0.0308
703,0.0304
704,0.03
705,0.03
706,0.0312
707,0.0316
708,0.032
709,0.03
710,0.0288
711,0.0292
712,0.03
713,0.0296
714,0.0316
715,0.0316
716,0.0308
717,0.032
718,0.0312
719,0.03
720,0.03
721,0.0292
722,0.0284
723,0.0292
724,0.0288
725,0.028
726,0.0276
727,0.0276
728,0.0288
729,0.0292
730,0.0284
731,0.0292
732,0.0296
733,0.0308
734,0.0312
735,0.0292
736,0.0292
737,0.0292
738,0.0272
739,0.0276
740,0.0284
741,0.0276
742,0.028
743,0.0284
744,0.0272
745,0.0252
746,0.0252
747,0.026
748,0.0252
749,0.0256
750,0.0264
751,0.0268
752,0.0272
753,0.028
754,0.0272
755,0.0276
756,0.0268
757,0.0272
758,0.0276
759,0.0292
760,0.0292
761,0.0308
762,0.03
763,0.0316
764,0.0308
765,0.0304
766,0.03
767,0.0316
768,0.0316
769,0.0316
770,0.032
771,0.032
772,0.0324
773,0.0332
774,0.0324
775,0.0308
776,0.0328
777,0.032
778,0.032
779,0.0312
